"","R","lhsgrade_pct","nextGPA","probation_year1","totcredits_year1","male","bpl_north_america","english","age_at_entry","campus"
"119",-0.22,-3.17805383034795,0.839999914169312,1,4,0,1,1,19,2
"120",1.38,-0.575364144903562,1.67000007629395,0,5,0,1,1,19,2
"121",-1.07,-2.19722457733622,-0.399999976158142,1,4,0,0,0,18,2
"122",-0.3,0,1.79999995231628,1,5,0,1,1,18,1
"123",1,-2.31363492918063,1.24000000953674,0,5,0,1,1,19,1
"124",-0.62,-3.47609868983527,0.699999928474426,1,4,0,1,0,20,3
"125",2.36,1.90095876119305,1.70000004768372,0,5,1,1,1,17,1
"126",0.71,-0.241162056816888,-0.829999983310699,0,4.5,1,0,1,18,1
"127",-1.03,-3.17805383034795,-0.299999952316284,1,3.5,1,1,1,18,3
"128",1.1,1.51634748936809,0.289999961853027,0,4,0,1,0,19,1
"129",-0.16,1.20831120592453,0.720000028610229,1,5,0,0,0,20,1
"130",0.06,-2.94443897916644,1.03999996185303,0,5,0,1,0,20,2
"132",1.15,-0.405465108108164,-0.190000057220459,0,4,1,1,1,19,1
"133",1.98,1.450010175506,1.73000001907349,0,5,1,1,1,18,1
"134",1.9,2.19722457733622,0.769999980926514,0,5,1,1,1,19,1
"135",0.75,-0.619039208406224,1.44000005722046,0,4,0,0,0,19,2
"136",1.32,-0.0800427076735365,0.519999861717224,0,5,0,0,0,18,1
"138",1.68,0.241162056816888,0.799999952316284,0,5,0,1,1,17,1
"139",1.76,3.47609868983527,1.27999997138977,0,4.5,0,1,1,18,2
"140",-0.67,-1.09861228866811,-0.190000057220459,1,4.5,0,1,1,18,1
"141",0.18,-0.322773392263051,0.210000038146973,0,5,0,1,1,19,1
"142",-0.82,-0.447312218043665,0.799999952316284,1,5,0,1,0,19,1
"143",1.09,-1.04596855518269,0.459999918937683,0,4,1,0,0,20,1
"145",1.23,-0.847297860387204,1.27999997138977,0,5,1,0,1,18,1
"146",1.51,1.73460105538811,1.4300000667572,0,4.5,0,1,0,19,1
"148",0.77,0.532216813747308,1.5,0,5,0,1,1,19,1
"149",0.84,-1.09861228866811,0.970000028610229,0,4.5,1,1,1,19,1
"150",0.44,-1.38629436111989,0.559999942779541,0,5,0,1,1,19,1
"151",1.69,1.38629436111989,1.99000000953674,0,5,0,1,1,18,1
"152",1.99,2.44234703536921,1.75,0,5,0,1,0,18,1
"153",1.7,2.44234703536921,1.32999992370605,0,4.5,1,1,1,18,1
"154",0.31,0.575364144903562,1.20000004768372,0,5,0,1,1,18,1
"155",1.13,-0.447312218043665,1.10000002384186,0,5,1,1,1,19,3
"157",0.43,-3.17805383034795,1,0,4,0,1,1,20,2
"158",1.04,0.281851152140987,-0.299999952316284,0,4.5,1,1,1,19,1
"159",-0.04,-1.58562726374038,-0.680000007152557,1,4,1,1,0,18,3
"160",0.88,-0.619039208406224,1.79999995231628,0,5,1,1,1,18,2
"161",2.18,2.94443897916644,1.91000008583069,0,5,1,0,0,18,1
"162",1.56,1.3249254147436,2.08999991416931,0,4,0,0,0,19,1
"163",1.78,1.51634748936809,0.899999976158142,0,5,0,0,0,19,1
"164",-0.36,-1.450010175506,-1.04999995231628,1,5,0,1,1,19,1
"165",-0.29,-2.4423470353692,-0.259999990463257,1,4,0,1,1,19,2
"166",-0.56,0,-1.5,1,4.5,1,1,1,19,1
"167",-0.2,0.200670695462151,-0.649999976158142,1,4,0,0,0,17,1
"168",0.75,-1.51634748936809,1.1800000667572,0,4,0,1,1,19,2
"169",0.15,-1.73460105538811,1.50999999046326,0,4,0,1,1,19,3
"170",1.31,-0.75377180237638,1.72000002861023,0,5,0,1,1,19,1
"171",0.98,-1.20831120592453,0.850000023841858,0,3.5,0,1,1,17,3
"172",1,-1.99243016469021,0.149999976158142,0,5,0,1,1,19,1
"173",0.39,-0.944461608840851,0.299999952316284,0,5,0,1,1,19,2
"174",1.63,1.58562726374038,2.20000004768372,0,5,0,0,0,19,1
"175",1.35,0.241162056816888,1.8199999332428,0,4,1,1,0,19,1
"176",0.44,-1.26566637333128,0.899999976158142,0,5,1,1,1,19,3
"177",1.24,-0.847297860387204,0.5,0,4.5,1,1,0,19,1
"178",2.31,1.26566637333128,2.32999992370605,0,5,0,1,1,18,1
"179",2.18,2.58668934409794,2.03999996185303,0,5,1,1,1,18,1
"180",0.67,-3.89182029811063,1.04999995231628,0,5,1,1,1,19,2
"181",1.09,-0.619039208406224,1.92000007629395,0,5,1,1,1,19,2
"182",-0.25,-0.532216813747308,1.20000004768372,1,5,0,1,1,19,1
"183",1.3,0.994622575144062,1.45000004768372,0,5,1,1,0,19,1
"184",1.72,1.65822807660353,2.33999991416931,0,5,0,1,1,19,2
"185",1.84,1.90095876119305,1.50999999046326,0,5,1,1,1,19,1
"186",1.09,-1.09861228866811,0.370000004768372,0,5,1,1,1,19,2
"187",2.27,2.58668934409794,2.14000010490417,0,5,0,1,1,18,1
"188",0.28,-3.47609868983527,0.230000019073486,0,4.5,0,1,0,17,3
"190",0.6,-3.89182029811063,0.900000095367432,0,5,0,1,1,19,3
"191",1.2,-0.489548225318706,1.20000004768372,0,4,0,1,1,19,2
"192",0.73,0.575364144903562,1.60999989509583,0,4.5,0,1,1,19,2
"193",2.16,1.450010175506,1.88000011444092,0,5,0,1,1,17,3
"195",0.9,-0.447312218043665,-0.00999999046325684,0,4.5,0,1,1,19,1
"196",1.35,-1.38629436111989,0.880000114440918,0,5,0,0,1,19,1
"197",-0.27,-0.532216813747308,0.550000071525574,1,4,0,1,1,18,1
"198",0.08,-2.31363492918063,1.20000004768372,0,5,0,1,1,21,1
"199",0.8,0.405465108108164,1.84999990463257,0,4,0,1,1,19,2
"200",1.1,1.450010175506,2.80000019073486,0,5,0,0,0,19,1
"201",1.95,-0.241162056816888,1.5,0,5,0,1,1,18,1
"202",2.38,2.94443897916644,1.92000007629395,0,5,1,1,0,20,1
"203",0.32,0.800119300112113,1.61999988555908,0,5,0,1,1,19,1
"204",1.13,0.281851152140987,1.24999988079071,0,5,0,1,1,18,1
"205",0.58,-2.09074109693377,0.699999928474426,0,4,0,1,1,19,3
"206",0.31,0.405465108108164,-0.699999988079071,0,5,0,1,1,19,1
"207",-0.32,-1.26566637333128,2.20000004768372,1,4,0,0,1,17,2
"208",0.9,-0.405465108108164,1.39999997615814,0,4.5,0,1,0,17,3
"209",1.4,0.708185057924486,0.769999861717224,0,5,1,1,1,18,1
"210",2.5,5.29330482472449,2.5,0,5,0,1,1,19,1
"212",2.65,3.17805383034794,2.5,0,5,0,0,0,18,1
"214",-1.05,0.322773392263051,0.429999947547913,1,4.5,1,1,1,18,1
"216",1.1,-0.800119300112113,1.96000003814697,0,5,1,1,1,17,2
"217",0.75,1.26566637333128,2.09999990463257,0,4,0,1,1,19,1
"218",1.75,0.532216813747308,1.19000005722046,0,4.5,0,1,1,20,1
"219",1.41,-1.58562726374038,-0.360000014305115,0,4,1,1,1,18,1
"220",0.62,-1.58562726374038,1.03999996185303,0,5,1,1,1,18,2
"221",0.54,1.04596855518269,0.849999904632568,0,5,0,1,1,17,1
"222",0.58,5.29330482472449,-0.159999966621399,0,4,0,1,0,18,1
"223",1.59,1.15267950993839,1,0,5,0,1,1,19,1
"224",2.12,0.75377180237638,1.85999989509583,0,5,0,0,1,20,1
"225",1.61,-1.450010175506,1.25,0,4,0,1,1,18,1
"226",1.23,2.75153531304195,1.05000007152557,0,4,0,1,1,19,1
"227",2.47,3.17805383034794,2.5,0,5.5,0,1,1,19,1
"228",0.3,-0.944461608840851,0.809999942779541,0,4,0,1,1,19,1
"230",1.8,-0.200670695462151,1.24000000953674,0,5,1,1,1,18,1
"231",0.21,-2.4423470353692,1.19999992847443,0,4,0,1,1,18,3
"232",1.68,1.81528996663825,1.62000000476837,0,5,0,1,1,18,2
"233",0.76,-1.26566637333128,-0.0800000429153442,0,5,0,1,1,18,1
"234",1.9,0.0800427076735366,1.20000004768372,0,4,1,1,1,18,2
"235",1.26,1.3249254147436,1.54000008106232,0,5,0,1,0,19,2
"236",1.92,0.447312218043665,1.57000005245209,0,5,0,1,1,19,2
"237",0.7,1.38629436111989,-0.269999980926514,0,4,0,1,0,17,1
"238",1.68,0.708185057924486,1.6599999666214,0,5,0,0,1,19,3
"240",1.03,-0.944461608840851,0.99999988079071,0,4,0,1,0,19,1
"241",0.38,-1.450010175506,0.640000104904175,0,5,1,1,1,19,1
"242",0.68,0.895384047054841,1.79999995231628,0,5,1,1,1,19,1
"243",1.71,0.120144311842063,0.5,0,5,1,1,0,20,1
"244",0.8,-1.38629436111989,1.10000002384186,0,4,0,1,1,19,3
"245",1.74,1.26566637333128,1.79999995231628,0,4.5,0,1,0,19,1
"246",0.03,-1.450010175506,0.539999961853027,0,4,0,1,1,19,1
"248",1.71,2.75153531304195,2.0699999332428,0,5,1,1,1,19,1
"249",1.54,2.94443897916644,1.84999990463257,0,5,0,1,1,17,2
"250",0.22,0.447312218043665,0.700000047683716,0,5,1,1,1,19,1
"251",0.75,-0.489548225318706,2.20000004768372,0,4,1,1,1,19,1
"252",0.68,1.99243016469021,0.519999980926514,0,4,0,0,0,20,1
"253",0.24,-1.90095876119305,0.100000023841858,0,4,0,0,1,19,1
"254",1.82,1.73460105538811,1.58999991416931,0,5,0,0,1,17,1
"255",0.5,0.405465108108164,1.15000009536743,0,5,0,0,0,19,1
"256",0.26,-2.31363492918063,-0.0399999618530273,0,4,0,1,0,19,3
"257",0.21,-1.73460105538811,-0.100000023841858,0,5,1,1,1,18,1
"258",0.92,-2.94443897916644,1.69999992847443,0,4.5,0,1,1,18,3
"260",-1.19,-1.65822807660353,-1.5,1,4.5,0,1,1,18,1
"261",0.54,-1.58562726374038,1.10000002384186,0,4,0,0,0,19,3
"262",-1.3,-0.200670695462151,-0.899999976158142,1,5,1,1,1,19,1
"263",2.28,1.90095876119305,2.40000009536743,0,5,0,1,1,19,1
"264",2.12,1.450010175506,1.98000001907349,0,5,1,1,1,19,1
"265",1.53,0.944461608840851,2.20000004768372,0,5,0,1,1,18,1
"266",0.43,0.663294217410264,1.5,0,5,0,1,1,19,2
"267",-0.1,-0.363965377201412,-0.769999980926514,1,5,0,1,0,19,2
"268",1.95,0.619039208406224,1.83999991416931,0,5,1,1,1,20,2
"269",1.38,0.405465108108164,1.59999990463257,0,4,0,0,0,19,2
"270",1.1,-0.708185057924486,1.5,0,5,0,0,0,18,2
"271",1.68,1.73460105538811,1.5,0,5,0,1,1,18,1
"272",0.51,-1.3249254147436,0.149999976158142,0,4.5,1,1,0,20,1
"273",0.25,-0.447312218043665,-0.819999992847443,0,4,0,1,1,19,1
"274",1.7,0.0800427076735366,1.5,0,5,1,1,0,20,1
"275",1.39,2.44234703536921,0.259999990463257,0,5,1,1,1,19,1
"276",0.68,0.800119300112113,1,0,5,1,1,0,19,1
"277",1.64,-0.447312218043665,0.859999895095825,0,5,1,1,0,18,3
"278",0.44,-1.450010175506,1.4300000667572,0,5,1,1,1,19,1
"279",0.18,0.405465108108164,-0.059999942779541,0,5,0,1,1,18,3
"280",1.64,0.708185057924486,0,0,5,1,1,0,19,1
"282",-0.04,-0.575364144903562,1,1,4,1,1,1,19,2
"283",1.47,0.405465108108164,1.29999995231628,0,4.5,0,1,0,18,3
"284",2.5,4.59511985013459,2.20000004768372,0,5,0,1,0,18,1
"285",-0.46,0.447312218043665,0.149999976158142,1,4,0,1,1,19,1
"286",1.09,-1.20831120592453,1.80999994277954,0,4,0,0,0,20,2
"288",1.28,0.575364144903562,0.5,0,4,0,1,1,19,1
"289",0.1,-1.09861228866811,0.670000076293945,0,5,0,1,1,19,3
"290",1.56,-0.994622575144062,1.5,0,4.5,0,1,1,19,2
"291",-0.18,-1.450010175506,0.949999928474426,1,5,0,1,0,18,3
"292",1.99,1.51634748936809,2.25,0,5,0,1,1,18,1
"293",1.07,2.31363492918063,2.20000004768372,0,4,0,1,0,19,1
"294",2.09,1.99243016469021,2.02999997138977,0,5,0,0,0,19,1
"295",1.65,3.17805383034794,2.20000004768372,0,4,0,1,1,19,1
"296",2.5,2.75153531304195,2.47000002861023,0,5,1,1,1,18,1
"297",2.18,2.44234703536921,2.5,0,5,0,1,1,19,1
"299",0.75,-2.19722457733622,0.630000114440918,0,5,0,1,1,18,1
"301",-0.44,-3.47609868983527,0.0399999618530273,1,4,0,0,0,19,3
"302",2.56,2.58668934409794,2.15000009536743,0,5,0,1,1,18,1
"303",1.94,1.09861228866811,1.98000001907349,0,4,0,1,1,19,1
"304",1.72,1.26566637333128,1.53999996185303,0,5,0,1,1,18,1
"306",-0.29,-2.31363492918063,-1.25,1,4,1,1,1,19,1
"307",1.32,-0.994622575144062,1.61999988555908,0,5,0,1,1,18,1
"308",0.75,0.241162056816888,0.539999961853027,0,4,0,1,1,19,1
"310",0.06,0.120144311842063,0.330000042915344,0,4.5,0,0,0,20,1
"312",0.6,-1.81528996663825,0.790000081062317,0,5,0,1,0,20,3
"313",1.88,3.17805383034794,2.5,0,5,0,1,1,19,1
"314",0.68,1.90095876119305,0.940000057220459,0,5,1,1,1,19,1
"315",0.95,0.895384047054841,0.25,0,5,1,1,1,19,1
"317",1.7,1.04596855518269,1.92000007629395,0,5,0,1,1,19,1
"318",1.78,2.31363492918063,2.19000005722046,0,5,0,1,1,19,1
"319",1.66,1.90095876119305,1.20000004768372,0,4.5,0,1,1,20,1
"320",0.59,-1.73460105538811,-0.819999992847443,0,5,0,1,1,19,1
"321",1.7,0.575364144903562,1.63000011444092,0,5,0,1,1,19,1
"322",0.96,0.322773392263051,1.03999996185303,0,4,0,1,1,21,2
"323",-0.29,-0.489548225318706,1.1800000667572,1,4,0,1,0,19,1
"324",1.18,0.489548225318706,-1.5,0,5,0,1,1,18,1
"325",0.93,1.99243016469021,1.11999988555908,0,5,0,1,1,18,1
"326",1.26,-2.94443897916644,0.299999952316284,0,5,0,1,1,20,3
"327",1.55,-0.75377180237638,0.939999938011169,0,4,0,1,1,17,3
"328",0.84,-0.489548225318706,1.04999995231628,0,5,0,1,1,19,2
"329",2.12,1.99243016469021,1.80999994277954,0,5,1,1,1,19,3
"330",1.86,-0.994622575144062,1.58999991416931,0,4,0,1,1,17,1
"331",0.07,-1.3249254147436,1.45000004768372,0,4.5,0,1,1,18,2
"332",0.66,1.90095876119305,0.5,0,5,0,1,1,19,1
"333",2.44,3.89182029811063,2.20000004768372,0,5,0,1,0,18,1
"334",1.4,-0.241162056816888,1.3400000333786,0,5,0,1,1,18,3
"335",-0.54,-0.200670695462151,0.139999985694885,1,4,0,1,1,18,1
"336",2.07,2.94443897916644,2.5,0,5,1,1,1,19,1
"337",1.6,1.15267950993839,1.5,0,4.5,0,1,0,19,1
"338",1.93,-0.160342650075179,1.57999992370605,0,4.5,1,0,0,19,3
"339",-0.39,-0.0800427076735365,0.5,1,4,1,1,1,18,1
"341",0.33,2.19722457733622,-0.5,0,4.5,0,1,1,18,2
"342",0.84,1.04596855518269,0.660000085830688,0,5,1,1,1,19,3
"343",1.5,1.81528996663825,1.5,0,4,0,1,0,19,1
"344",-0.96,-1.38629436111989,-0.170000076293945,1,4.5,0,1,0,18,3
"345",1.8,2.75153531304195,2.0699999332428,0,4.5,1,0,0,19,1
"346",1.18,-1.73460105538811,0.929999947547913,0,4,1,1,1,19,3
"347",2.08,2.75153531304195,2.20000004768372,0,5,0,1,1,17,1
"348",0.36,0.847297860387203,0.700000047683716,0,5,1,1,0,19,1
"349",2.32,1.90095876119305,2.03999996185303,0,5,1,1,1,19,1
"350",1.26,0.447312218043665,1.69000005722046,0,5,1,1,0,19,3
"351",1.3,1.26566637333128,1.30999994277954,0,5,1,1,1,19,1
"352",0.66,-0.447312218043665,0.289999961853027,0,4.5,1,1,1,19,1
"353",0.84,-0.281851152140988,0.799999952316284,0,5,0,1,1,17,2
"354",0.35,-1.20831120592453,0.279999971389771,0,4,0,1,0,19,2
"355",1.5,2.31363492918063,1.69000005722046,0,4,0,0,0,19,1
"356",0.45,-0.0800427076735365,1.4099999666214,0,5,0,1,1,19,3
"358",2.44,4.59511985013459,2.11999988555908,0,5,0,1,1,19,1
"359",-0.13,-3.89182029811063,1.69999992847443,1,3.5,0,1,1,19,3
"360",-0.21,-1.26566637333128,0.5,1,5,0,1,1,19,2
"361",1.78,1.51634748936809,1.97000002861023,0,5,1,1,1,18,1
"362",1,-0.160342650075179,-1.5,0,4.5,0,1,1,19,1
"363",0.25,1.38629436111989,1.20000004768372,0,4,0,1,1,18,1
"364",0.24,-0.160342650075179,0.890000104904175,0,5,1,1,1,19,1
"365",0.24,-0.281851152140988,0.299999952316284,0,5,1,1,1,19,3
"366",1.78,1.58562726374038,1.60999989509583,0,4.5,1,0,0,19,3
"367",0.98,0.241162056816888,1.79999995231628,0,5,0,0,0,20,2
"368",1.37,-0.0400053346136992,1.40000009536743,0,5,1,1,1,19,1
"369",1.96,1.99243016469021,2.05000019073486,0,5,0,1,1,18,3
"370",1.1,-0.708185057924486,1.84999990463257,0,5,0,1,1,18,2
"371",2.2,2.31363492918063,2.28000020980835,0,5,1,1,1,18,3
"372",2.14,0.200670695462151,2.28000020980835,0,5,1,1,1,19,1
"374",-0.22,-0.663294217410264,1.0699999332428,1,5,1,1,1,17,2
"375",2,1.450010175506,1.51999986171722,0,5,0,1,1,18,1
"376",1.22,3.47609868983527,1.95000004768372,0,5,1,1,1,20,1
"377",0.7,1.09861228866811,1.1800000667572,0,4.5,1,1,1,17,1
"378",2.08,1.20831120592453,1.55000007152557,0,4.5,0,0,0,20,1
"379",1.31,-1.38629436111989,1.04000008106232,0,4.5,0,1,1,19,3
"380",1.6,0.241162056816888,0.670000076293945,0,4,0,1,1,19,2
"381",2.19,1.450010175506,0.5,0,5,0,1,1,20,1
"382",0.83,0.75377180237638,0.5,0,4,1,1,1,18,1
"383",0.65,-1.26566637333128,1.34999990463257,0,4,0,1,1,19,2
"384",0.84,0.0400053346136992,1.83999991416931,0,5,0,0,0,19,1
"385",1.58,1.26566637333128,1.60999989509583,0,4,0,1,1,18,3
"386",0.94,1.09861228866811,0.799999952316284,0,5,1,1,1,18,1
"387",0.92,-0.281851152140988,-0.300000071525574,0,4.5,1,1,1,18,2
"388",1.01,-2.19722457733622,0.870000004768372,0,5,0,1,0,19,2
"389",1.76,-0.0800427076735365,1.01999986171722,0,4,0,0,0,19,1
"390",0.14,-3.47609868983527,2.09999990463257,0,4,0,1,0,19,3
"391",2.24,2.19722457733622,1.79999995231628,0,5,0,1,1,18,1
"392",0.87,1.73460105538811,0.5,0,5,0,1,1,18,1
"393",1.36,-0.575364144903562,1.5,0,5,0,1,1,18,1
"394",-0.65,-3.17805383034795,0.729999899864197,1,5,1,1,1,19,3
"395",0.5,0.489548225318706,0.110000014305115,0,4.5,0,1,1,20,1
"396",1.1,0.405465108108164,1.84999990463257,0,4,1,1,1,17,1
"397",1.08,0.160342650075179,0.940000057220459,0,4,0,1,1,19,1
"398",2.39,0.405465108108164,2.15000009536743,0,5,0,1,1,19,1
"399",0.84,-0.75377180237638,1.01999998092651,0,5,0,0,1,19,1
"400",0.24,-1.15267950993839,0.0499999523162842,0,5,1,1,0,19,3
"402",1,0.847297860387203,-0.200000047683716,0,4.5,0,0,0,20,1
"403",2.22,2.09074109693377,1.93999993801117,0,5,0,1,0,21,1
"404",0.08,-3.17805383034795,1.5,0,4,0,1,0,19,2
"405",1.49,2.94443897916644,2.20000004768372,0,5,0,1,1,19,1
"406",1.33,0.532216813747308,0.539999961853027,0,4,1,1,1,19,3
"407",1.42,1.3249254147436,1.92000007629395,0,5,1,0,0,19,1
